ux,uy
-2.091154756359757047e-02,-1.665638532254519640e-03
4.971187986738050818e-03,9.872540665961840323e-03
0.000000000000000000e+00,-5.758483335816574206e-03
-9.195861948481539455e-03,3.648906798917899222e-03
6.808827534211542992e-03,-1.091971131339695977e-02
3.944593376695209458e-02,0.000000000000000000e+00
-2.897115017849457609e-03,1.017092070866351325e-02
2.182667933461790097e-02,-8.443297323845620674e-04
-1.456500271112640913e-03,-8.687764267387688977e-03
-2.907670540296449987e-02,0.000000000000000000e+00
-3.727648244049931031e-02,0.000000000000000000e+00
-2.481622477554806458e-02,2.930717876921744638e-03
-2.462482700077986073e-02,-1.446476273737019088e-03
1.934224551939299833e-02,-1.567949693024716946e-03
3.256434444114517102e-02,2.991269419751437018e-04
-6.712059785855714091e-03,-7.047551409157178613e-03
-2.183339097751056668e-03,-7.090311403446826477e-03
-1.273798702739112679e-02,0.000000000000000000e+00
-1.965334802563466210e-02,-8.292763161272560931e-04
0.000000000000000000e+00,-9.838248056221861326e-03
-3.039116787426061894e-02,-3.348396464065501099e-04
3.645772308847292087e-02,-2.371182555840882923e-05
9.174480347946521036e-03,-5.201838782712644993e-03
2.484878822086280387e-03,-9.932539489272383670e-03
-3.756016676313786440e-02,4.100701633785696883e-04
3.191287573192273797e-02,-1.732651021536839569e-03
-1.258806084545411111e-02,7.727757656004153805e-03
-2.504890947614076251e-03,4.346332640104156805e-03
1.745743271516985665e-03,1.022289324656331863e-02
0.000000000000000000e+00,-3.122222774054137645e-03
1.555506214389696523e-02,-8.514133908249617777e-04
-7.903040563374737551e-03,-6.502232723161690403e-03
8.451413256260656426e-03,8.437733668586480662e-03
3.056250055235603877e-02,-2.658398723117147942e-03
3.612361581072726091e-02,-5.340182032765370236e-04
3.111278662730523892e-02,-2.497196309696411015e-03
-2.850963461739638473e-03,4.800873378381933197e-04
-5.035731977226961566e-03,-7.086642892923336601e-03
3.444782513232981513e-02,0.000000000000000000e+00
7.011232928474766743e-03,3.381506159320945160e-03
3.726028539314581167e-02,-4.228266070210421083e-04
2.585583353859399747e-02,3.762650664252618600e-04
-5.337718759929669515e-03,6.385000484419397875e-03
-2.004947489502597463e-02,-1.260677215986406906e-03
0.000000000000000000e+00,-1.243002269634078429e-02
3.904126771323150613e-02,0.000000000000000000e+00
5.301073819409407410e-03,-1.121123755652019861e-02
2.370999352926944984e-02,3.101895969674776585e-03
-1.744656110392085258e-03,9.553285339466914550e-03
3.602629401637675449e-02,-2.593698183713740476e-04
-1.681128765803559244e-02,-3.043633545567710815e-03
8.419528997687131602e-03,3.902748377541704217e-03
-2.418170183133095882e-02,-1.596531067132500939e-03
8.987356150565334887e-04,-7.117664576713054157e-03
6.892372416781690015e-04,-8.759337424440407152e-03
2.769670129057387117e-02,8.744182961726118964e-04
-2.513269028715753566e-03,7.607590808358487798e-03
1.999083088769596298e-02,-2.299791667584735570e-03
1.162267716083297681e-02,6.952590630580494750e-03
0.000000000000000000e+00,7.483054858666336219e-03
-1.015887155699610189e-02,-2.081080940627193232e-03
2.876302636246861125e-02,9.230176396663215821e-04
0.000000000000000000e+00,-7.376092090662587572e-03
-6.650311871304628170e-03,-3.173853007520199658e-03
9.039691180457552419e-03,-9.527254052197845630e-03
-8.112580760947112057e-03,-5.727212236747075691e-03
0.000000000000000000e+00,6.899487705753810582e-03
0.000000000000000000e+00,-9.249599279424836409e-03
0.000000000000000000e+00,4.959539292017015391e-03
7.714916561628664196e-03,6.947588874778766119e-03
-2.473559987384247108e-02,3.835410549386822094e-03
-2.223158823815929094e-02,5.448407681345732168e-03
-2.351103688514383228e-02,-1.636481375443940654e-03
-2.480376244093264460e-02,2.271766709424862321e-03
3.019975318033587749e-02,1.691648187082318464e-04
7.900371909221293523e-03,8.348678759662863866e-03
-3.986117504820660927e-03,9.626026825716973295e-03
-2.507882713416050360e-02,3.424936389519260983e-03
-1.067594989310621974e-02,8.480575140806592693e-03
-2.897792950759792499e-02,1.936843773593962376e-04
-2.277439195628946922e-02,2.237627150030111877e-03
0.000000000000000000e+00,-5.115862449479858381e-03
-2.400039934170560690e-02,-6.759186883305822726e-04
2.888017877974227710e-03,1.018366894800965504e-02
1.543422027553951678e-02,-7.930083829289604966e-03
-3.589247016472257856e-02,7.904574588266926206e-04
2.254105251414992989e-02,-4.557500063783369131e-03
-2.105017647068816583e-02,5.530042446774906771e-03
8.570254864948168017e-03,3.613020139909504762e-03
-1.766669406695903308e-03,-6.349111275406680265e-03
-3.850075285702484612e-02,3.427719297233154400e-04
7.473790124240320409e-03,-1.025618403679054956e-02
-3.023987233788550180e-02,2.302382940866833506e-04
1.638789557404189516e-03,7.147420352672504730e-03
-1.753734419557149288e-02,2.673370196597883806e-03
-3.961670124639901647e-02,5.125913587409617944e-05
-2.212746869756067325e-02,3.105994652718860240e-03
-1.337932269000021400e-02,-4.255867170528421228e-03
6.610587595175308577e-03,-4.812826619253232976e-03
2.244272094433404779e-02,0.000000000000000000e+00
-2.988919511142848137e-02,-2.549941202661958517e-04
5.286290912836746209e-03,-6.699661056575997344e-03
-2.388184391174002271e-03,9.607611114708569308e-03
-1.628566655231163465e-02,3.171262532341933768e-03
1.146357984644291381e-02,-1.852231193094758255e-03
0.000000000000000000e+00,-8.312239302244381345e-03
5.921067856852780045e-03,7.206587888509556269e-03
-2.520577421512295094e-02,4.492214880808961808e-03
-1.320625834417218751e-02,8.036790987503433445e-03
-2.356860561061236911e-02,3.647689635910502173e-03
-9.661618755222844621e-03,-5.733420120778745868e-03
-3.068972344306267544e-02,-1.341887013047534565e-04
0.000000000000000000e+00,-8.813609412764242951e-03
-3.058958352178512211e-02,6.136889437817901697e-04
3.627734912719912663e-02,-5.095573840081952513e-04
2.127785491466531800e-02,3.733440210047763233e-03
-2.064575451886758659e-02,-2.355108946115142248e-03
3.377231854747967527e-02,-2.090220240357832976e-04
4.251221331377871664e-03,6.238270067938023883e-03
1.497375302518286384e-02,6.564792169046007944e-03
-1.311396838249383710e-02,1.993505655869694075e-03
0.000000000000000000e+00,7.285476642943820511e-03
-2.596567234317126785e-02,-1.089340473301902935e-03
-1.459739519120682207e-02,-1.639213743226432696e-03
-2.602250525548105084e-02,0.000000000000000000e+00
